,,,,,BI,BI,BI,PD,PD,PD,PIP,PIP,PIP,COMP,COMP,COMP,COLL,COLL,COLL,BI,PD,PIP,COMP,COLL,BI,PD,PIP,COMP,COLL,BI,PD,PIP,COMP,COLL,,,BI,PD,PIP,COMP,COLL,,,,,,,,,,,,,,,,,,,,,,,,,,
State,State_Abbreviation,Year,Quarter,Y&Q,Exposures,Losses,Arising/Paid Count,Exposures,Losses,Arising/Paid Count,Exposures,Losses,Arising/Paid Count,Exposures,Losses,Arising/Paid Count,Exposures,Losses,Arising/Paid Count,Frequency,Frequency,Frequency,Frequency,Frequency,Severity,Severity,Severity,Severity,Severity,Pure Premium,Pure Premium,Pure Premium,Pure Premium,Pure Premium,Average Miles per Driver,On-Level Mileage Adjustment,On-Level Frequency,On-Level Frequency,On-Level Frequency,On-Level Frequency,On-Level Frequency,Urban VMT %,Rural VMT %,Lawyers Per 1 Million Capita,Urban Avg Commute Time,Rural Avg Commute Time,Mobile Broadband %,Interstate Good,Interstate Mediocre/Bad,Drivers Under 20 %,Drivers Over 75 %,Commute Private Vehicle %,Average Quarterly Precipitation,#REF!,Urban VMT per Lane,Rural VMT per Lane,Capital Outlay per VMT,Maintenance Expenses per VMT,Policing Expenses per VMT,DUIS,Gas Price vs Wage,System,Fault,PIP,Licensed Drivers,Lane Miles Total,Drivers per Lane Mile
Alabama,AL,2011.0000000000,Q1,2011 Q1,651183.0000000000,54027524.0000000000,4265.0000000000,651183.0000000000,53428263.0000000000,18194.0000000000,0.0000000000,0.0000000000,0.0000000000,500342.0000000000,37255862.0000000000,33803.0000000000,483299.0000000000,81560580.0000000000,25965.0000000000,0.0065496182,0.0279399186,0.0000000000,0.0675597891,0.0537245059,12667.6492379836,2936.5869517423,0.0000000000,1102.1466142058,3141.1738879261,82.9682654492,82.0480003317,0.0000000000,74.4607928177,168.7580152245,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5569545066,0.4430454934,2789.0329270375,21.1000000000,27.3000000000,#REF!,0.7929052934,0.2070947066,0.0565099543,0.0816437421,0.9478767444,12.6750000000,0.0954166667,657342.5723166070,183302.4061841950,15.9232996068,2.7327230247,3.3921917746,0.0000800000,0.0386952485,Tort,Pure Contributory Negligence,N,3798552.0000000000,211900.0820000000,17.9261469092
Alaska,AK,2011.0000000000,Q1,2011 Q1,88884.0000000000,11812642.0000000000,718.0000000000,88884.0000000000,13039667.0000000000,3762.0000000000,0.0000000000,0.0000000000,0.0000000000,70332.0000000000,4038336.0000000000,4887.0000000000,61196.0000000000,14786350.0000000000,4138.0000000000,0.0080779443,0.0423248279,0.0000000000,0.0694847296,0.0676187986,16452.1476323120,3466.1528442318,0.0000000000,826.3425414365,3573.3083615273,132.8995319743,146.7043224877,0.0000000000,57.4181880225,241.6228184849,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5626977673,0.4373022327,1646.3224514117,19.1000000000,19.8000000000,#REF!,0.4208456925,0.5791543075,0.0431437999,0.0299742940,0.8062200202,9.6850000000,0.0756666667,446758.0357400710,71610.2750865111,90.3202537871,48.0567611304,12.4145199607,0.0084800000,0.0392040663,Tort,Pure Comparative Fault,N,521280.0000000000,33833.6620000000,15.4071409710
Arizona,AZ,2011.0000000000,Q1,2011 Q1,649690.0000000000,86208182.0000000000,6234.0000000000,649690.0000000000,68401779.0000000000,21366.0000000000,0.0000000000,0.0000000000,0.0000000000,530312.0000000000,65211687.0000000000,85449.0000000000,516345.0000000000,80440464.0000000000,24268.0000000000,0.0095953455,0.0328864535,0.0000000000,0.1611296746,0.0469995836,13828.7106191851,3201.4311991014,0.0000000000,763.1650107081,3314.6721608703,132.6912558297,105.2837183888,0.0000000000,122.9685298466,155.7882113703,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.7477136963,0.2522863037,2331.3518462385,23.5000000000,29.4000000000,#REF!,0.8585615927,0.1414384073,0.0367537831,0.0593774756,0.8748956668,2.4075000000,0.0945000000,813061.8747921430,173364.1126385190,19.3792359950,2.2356880162,3.1225037115,0.0077300000,0.0350430598,Tort,Pure Comparative Fault,N,4592398.0000000000,141482.5540000000,32.4591115312
Arkansas,AR,2011.0000000000,Q1,2011 Q1,266313.0000000000,45128980.0000000000,2307.0000000000,266313.0000000000,23654626.0000000000,8014.0000000000,0.0000000000,0.0000000000,0.0000000000,196905.0000000000,13087300.0000000000,11329.0000000000,191542.0000000000,36863987.0000000000,10378.0000000000,0.0086627390,0.0300924101,0.0000000000,0.0575353597,0.0541813284,19561.7598612917,2951.6628400300,0.0000000000,1155.2034601465,3552.1282520717,169.4584192285,88.8226485376,0.0000000000,66.4650465961,192.4590272630,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5081514939,0.4918485061,1767.5415651371,18.4000000000,24.5000000000,#REF!,0.6986562834,0.3013437166,0.0534019123,0.0768358936,0.9304109021,13.9575000000,0.0821666667,594421.4680536810,91718.6266311524,22.5949425142,9.0375825038,2.6886212403,0.0039700000,0.0433084345,Tort,Proportional Comparative Fault 50%,C,1956091.0000000000,204883.2400000000,9.5473451123
California,CA,2011.0000000000,Q1,2011 Q1,2711462.0000000000,316307300.0000000000,28899.0000000000,2711462.0000000000,306641347.0000000000,99956.0000000000,0.0000000000,0.0000000000,0.0000000000,2093286.0000000000,120493446.0000000000,106338.0000000000,2074985.0000000000,501153215.0000000000,135639.0000000000,0.0106580878,0.0368642452,0.0000000000,0.0507995563,0.0653686653,10945.2680023530,3067.7632858458,0.0000000000,1133.1174744682,3694.7575181180,116.6556271119,113.0907779641,0.0000000000,57.5618649339,241.5213676243,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.8236104352,0.1763895648,3303.5734562895,26.9000000000,29.9000000000,#REF!,0.4630705354,0.5369294646,0.0369393375,0.0512391539,0.8434974441,4.6975000000,0.1159166667,1242610.8114273300,334173.8635617880,13.0211894349,5.1185298648,5.4794769013,0.0043700000,0.0329264340,Tort,Pure Comparative Fault,N,23856600.0000000000,381939.4750000000,62.4617290475
Colorado,CO,2011.0000000000,Q1,2011 Q1,644504.0000000000,68925737.0000000000,4227.0000000000,644504.0000000000,63682811.0000000000,22207.0000000000,0.0000000000,0.0000000000,0.0000000000,510942.0000000000,21886600.0000000000,40431.0000000000,502787.0000000000,88884741.0000000000,27727.0000000000,0.0065585318,0.0344559537,0.0000000000,0.0791303122,0.0551466128,16306.0650579607,2867.6908632413,0.0000000000,541.3321461255,3205.7107151874,106.9438467411,98.8090236833,0.0000000000,42.8357817521,176.7840874963,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.6684334229,0.3315665771,3245.1948445863,23.7000000000,27.4000000000,#REF!,0.5814587193,0.4185412807,0.0410470171,0.0588263826,0.8521395235,4.4050000000,0.0833333333,709821.9609495180,110350.8087078590,14.4373512518,8.5880301910,3.3770353469,0.0074400000,0.0338021010,Tort,Proportional Comparative Fault 50%,N,3669816.0000000000,183924.6710000000,19.9528207937
Connecticut,CT,2011.0000000000,Q1,2011 Q1,361477.0000000000,74034101.0000000000,3830.0000000000,361477.0000000000,50371872.0000000000,16921.0000000000,0.0000000000,0.0000000000,0.0000000000,308433.0000000000,16510617.0000000000,21890.0000000000,272707.0000000000,61615356.0000000000,20544.0000000000,0.0105954182,0.0468107238,0.0000000000,0.0709716535,0.0753335998,19330.0524804178,2976.8850540748,0.0000000000,754.2538602101,2999.1898364486,204.8099906771,139.3501439926,0.0000000000,53.5306436082,225.9397668560,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.8567574966,0.1432425034,3568.2877329602,24.5000000000,27.8000000000,#REF!,0.6794927348,0.3205072652,0.0350628262,0.0713538577,0.8682867275,15.9225000000,0.0877500000,810704.3071363540,351096.6133892850,24.3667976043,3.6792990267,0.5137953382,0.0028400000,0.0316501974,Tort,Proportional Comparative Fault 51%,N,2469416.5000000000,45697.4900000000,54.0383399613
Delaware,DE,2011.0000000000,Q1,2011 Q1,119239.0000000000,23014406.0000000000,1379.0000000000,119239.0000000000,14106052.0000000000,4841.0000000000,119239.0000000000,16088537.0000000000,2825.0000000000,98861.0000000000,4826496.0000000000,4948.0000000000,94248.0000000000,18370525.0000000000,6618.0000000000,0.0115650081,0.0405991328,0.0236919129,0.0500500703,0.0702189967,16689.1994198695,2913.8715141500,5695.0573451327,975.4438156831,2775.8423995165,193.0107263563,118.3006566643,134.9268024723,48.8210315493,194.9168682625,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.6567150528,0.3432849472,4721.5111298542,24.2000000000,28.3000000000,#REF!,0.4855946811,0.5144053189,0.0495720624,0.0734636766,0.9000946844,11.1600000000,0.0749166667,878190.5790105210,441606.7263771880,32.1932259444,44.6029355400,7.7846318635,0.0003400000,0.0388337687,Tort,Proportional Comparative Fault 51%,C,716109.0000000000,13769.4000000000,52.0072770055
Dist. of Columbia,DC,2011.0000000000,Q1,2011 Q1,47507.0000000000,7988841.0000000000,695.0000000000,47507.0000000000,6403722.0000000000,2572.0000000000,47507.0000000000,768149.0000000000,492.0000000000,38891.0000000000,3062862.0000000000,1841.0000000000,37471.0000000000,8218570.0000000000,3533.0000000000,0.0146294230,0.0541393900,0.0103563685,0.0473374303,0.0942862480,11494.7352517986,2489.7830482115,1561.2784552846,1663.6947311244,2326.2298330031,168.1613446439,134.7953354243,16.1691750689,78.7550332982,219.3314830135,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.0000000000,0.0000000000,48202.5773629603,30.1000000000,,#REF!,0.0000000000,1.0000000000,0.0018055745,0.0516915249,0.3957386058,0.0000000000,0.1012500000,1043218.8238379500,,90.0691240184,6.7186734274,,0.0001100000,0.0239802245,Tort,Pure Contributory Negligence,O,395442.0000000000,3420.2940000000,115.6163768378
